	68_BH1	106_BH1	166_BH1	186_BH1	259_BH1	86_BH1	23_BH1	56_BH1	295_BH1	305_BH1	50_BH6	162_BH6	198_BH6	100_BH6	285_BH6	345_BH6	535_BH6	564_BH6	655_BH6	695_BH6	711_BH6
e9047683907b5cb8bf6a09a26594dcb4	0	0	0	0	0	0	0.00102211484854116	0.00122263760551127	0	0	0.00887494094621043	0	0	0	0	0	0	0	0	0	0
f5eb968cf6dd0adb4338814b92b49274	0	0	0	0	0	0	0	0.000211610354800028	0	0	0	0	0	0	0	0	0	0	0	0	0
cf7b0bd65361b22cc7048ecd28a40551	0	0	0.00175555927102491	0.00186477382098171	0.00168966488313151	0	0	0	0.0013149655604258	0.00115351340959339	0	0.00154979915868046	0.00214461764988317	0.00387122390232604	0.00130328120208525	0.00242148252557013	0.00127079941225527	0.00193997824872873	0.00163101288263799	0	0
1e76389d6f980c35b8c26e61809f4d80	0	0	0	0	0	8.34852300713799E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
fb4092042117e15ca1faf8562797d0a0	0	0	0	6.01539942252166E-05	0	0	0	0	6.26174076393237E-05	0.000144189176199173	0	0	0	0	0	0	0	0	0	0	0
139d2deea39a001b08b85013a2949729	0	0	0	0	0	2.78284100237933E-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
3a66290f173f974a89e5154cd93e2482	0	0	0.0020063534525999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
e66e1e1921a905589dd1481e7ef235f3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000189717321191425
121666f70805b5f3d4908a5011d7af3b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2ceca3679dcd3dc9e90d5449ae76525a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0380c1326d8afbb5bc9d0c33caaef2d9	0	0	0	0	0	0.00020871307517845	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
497cab921f81c06b0ec9a5080a4412d1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000487844540206521
4ada014b79152755f6350ae6ac1b1f0d	0	0	0.000167196121049992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4c8bf3a15ac01bd02d427ee6ba3036ca	0	0	0	0	0	0	0	0.000141073569866685	0	0	0	0	0	0	0	0	0	0	0	0	0
575e5c89a7cd3e3b54652b30e2abd0c7	0	0	0.000278660201749986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b16c3ea9a3ce16e8f1efb102f30438be	0	0	0	0	0	0	0	0.000117561308222238	0	0	0	0	0	0	0	0	0	0	0	0	0
aab21c536a9a1f2d68a74a32db04e163	0	0	0	0	0	0	0	0	0	0.00043256752859752	0	0	0	0	0	0	0	0	0	0	0
ba075d6b07294e9a7e6d45e37cbb01a9	0	0	0	0	0	0	0.000255528712135291	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ca15f9dc4b41150bd57a86d481299649	0	0	0	0	0	0.000570482405487762	0	0	0	0.000384504469864462	0	0	0	0	0	0	0	0	0	0	0
1eefdbed70107233a988fff4e42f2aef	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000293936098292231	0	0	0
