	Taxon	Kingdom
9c4f50d4bf98d9ae12b6308fc0802bf7	d__Archaea	Archaea
d44061f8bb98d1cd23cbedc9b964927b	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia	Archaea
0f56106a0fe4a04529080203c14c9d48	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_euryarchaeote	Archaea
9f775c87f56adf970cf6428269d34ac6	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_methanogenic	Archaea
b66c5a1dd173271d971215364ce8545d	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_methanogenic	Archaea
de691857d82a77c0d221f470044e8a20	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_methanogenic	Archaea
ed04ef2ae211abe8eb4304d001ecb42b	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__uncultured_methanogenic	Archaea
360d2a65f6cd8f0a151426d1631b2682	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__unidentified_archaeon	Archaea
94944e6314e9299870105015e661bc75	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__unidentified_archaeon	Archaea
a99652a3cbe93c3717ccad39abf8650f	d__Archaea; p__Crenarchaeota; c__Bathyarchaeia; o__Bathyarchaeia; f__Bathyarchaeia; g__Bathyarchaeia; s__unidentified_archaeon	Archaea
6e8ebb774db591ab6077fcdd84080efd	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Candidatus_Nitrosotenuis	Archaea
0d63b0dd4bc6e3fe86b6c4cc6186be46	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Nitrosarchaeum; s__uncultured_archaeon	Archaea
5da32e051bdda695c26f4cc556c3aede	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Nitrosarchaeum; s__uncultured_archaeon	Archaea
8086224289d38e07f3f591f75ee8d577	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrosopumilales; f__Nitrosopumilaceae; g__Nitrosarchaeum; s__uncultured_archaeon	Archaea
1427435456d4da78e4d4f36902b0a273	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae	Archaea
bc3676c17839094c4fa8e33268905268	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus_Nitrocosmicus	Archaea
0daf18761540fabc4ddd7b0e44890d04	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Candidatus_Nitrocosmicus; s__uncultured_archaeon	Archaea
3ab9af3e9d29ebb0b244558ddab132ed	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaeraceae	Archaea
63230983724ad14fbe78ab762e561a58	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaeraceae	Archaea
a3fe6144bb655c43f48abfa8bc92709d	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaeraceae	Archaea
0af4cbf343a41e0918a14ae9efd16b85	d__Archaea; p__Crenarchaeota; c__Nitrososphaeria; o__Nitrososphaerales; f__Nitrososphaeraceae; g__Nitrososphaeraceae; s__unidentified_archaeon	Archaea
219d89801f2c666b6ac389b7d0d05655	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium	Archaea
350e2ca44f40ce7ba455c4463730785e	d__Archaea; p__Euryarchaeota; c__Methanobacteria; o__Methanobacteriales; f__Methanobacteriaceae; g__Methanobacterium	Archaea
48cc8fa82bfcad9133e26d3e8e9a634a	d__Archaea; p__Halobacterota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanomicrobiales; g__uncultured	Archaea
10c6be05d6083a0cc0b42290ff0cbc2e	d__Archaea; p__Halobacterota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanoregulaceae; g__Methanoregula	Archaea
9529b7f1ea51aac204ead64df990328f	d__Archaea; p__Halobacterota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanoregulaceae; g__Methanoregula	Archaea
e2327e7000c3808cd645bb29a7645c1d	d__Archaea; p__Halobacterota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanoregulaceae; g__Methanoregula; s__uncultured_euryarchaeote	Archaea
655a07f2b2056f449a12b0ecedbc7155	d__Archaea; p__Halobacterota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanoregulaceae; g__Methanosphaerula; s__Methanosphaerula_palustris	Archaea
a00d277fa532360957040f526eeff924	d__Archaea; p__Halobacterota; c__Methanomicrobia; o__Methanomicrobiales; f__Methanoregulaceae; g__Methanosphaerula; s__Methanosphaerula_palustris	Archaea
ca41ec48aacb1dd302f969ca6e7e0326	d__Archaea; p__Halobacterota; c__Methanomicrobia; o__Methanomicrobiales; f__Rice_Cluster_II; g__Rice_Cluster_II; s__uncultured_archaeon	Archaea
2e089616f566545d620b8640d0285da2	d__Archaea; p__Halobacterota; c__Methanosarcinia; o__Methanosarciniales; f__Methanoperedenaceae; g__Candidatus_Methanoperedens	Archaea
6649ce33abc5d8966019bad6d3a9a665	d__Archaea; p__Halobacterota; c__Methanosarcinia; o__Methanosarciniales; f__Methanoperedenaceae; g__Candidatus_Methanoperedens	Archaea
dea077490aa0e820da3b6fcb6db3c1dc	d__Archaea; p__Halobacterota; c__Methanosarcinia; o__Methanosarciniales; f__Methanoperedenaceae; g__Candidatus_Methanoperedens	Archaea
a9db1b68e1bb6748beb5bf3f1d1f4966	d__Archaea; p__Halobacterota; c__Methanosarcinia; o__Methanosarciniales; f__Methanosaetaceae; g__Methanosaeta	Archaea
fea7cd207017361d80c372c4974d2001	d__Archaea; p__Halobacterota; c__Methanosarcinia; o__Methanosarciniales; f__Methanosarcinaceae; g__Methanosarcina	Archaea
affb20d28c22aecc535b54be39829eed	d__Archaea; p__Halobacterota; c__Methanosarcinia; o__Methanosarciniales; f__Methanosarcinaceae; g__Methanosarcina; s__uncultured_methanogenic	Archaea
834d6acdd4b5b9edc41a623d8af7a286	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Micrarchaeales; f__CG1-02-32-21; g__CG1-02-32-21; s__uncultured_archaeon	Archaea
8be0d9255b89cf54dbff03baf1c79d8d	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Micrarchaeales; f__CG1-02-32-21; g__CG1-02-32-21; s__uncultured_archaeon	Archaea
a13aacade4768f1fd31a0a252c6c22a1	d__Archaea; p__Micrarchaeota; c__Micrarchaeia; o__Micrarchaeales; f__CG1-02-32-21; g__CG1-02-32-21; s__uncultured_archaeon	Archaea
1bc24d8c364085ae8682942923a3484f	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales	Archaea
28d780a6190ca43085bde53bdcd1d4b3	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales	Archaea
4798afa1a52e42989b907d9512222cce	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales	Archaea
4eb988158c98f8777d04bfd8d6055ef6	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales	Archaea
65ba396dc3465c9cb6e42e44e1a1c42c	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales	Archaea
6a735a3f2813afec274020e4ee1792f2	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales	Archaea
cfa39bc9eb058ebbd2938388d28b2cfd	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales	Archaea
d1ad92da51a73a312537348d68c0bfd3	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales	Archaea
2276a230d2dac8be638f033c9db14a8f	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GW2011_GWC1_47_15; g__GW2011_GWC1_47_15	Archaea
0aecc4c942df52266ac9fa924ec8b979	d__Archaea; p__Nanoarchaeota; c__Nanoarchaeia; o__Woesearchaeales; f__GW2011_GWC1_47_15; g__GW2011_GWC1_47_15; s__uncultured_archaeon	Archaea
